pid,titulo,label,Año,descripción,enlance
Scrp-F-01,Sonreír en la cancha,Retrato jugadora Scorpions en cancha – post partido,2016,"Esta imagen captura a una jugadora del equipo femenino de Scorpions en un momento previo al partido, donde la sonrisa no solo refleja emoción, sino también persistencia",https://drive.google.com/file/d/1pbbb-xY8_rOZ_qpnn2rJxxQj6axHi6SD/view?usp=share_link
Scrp-F-02,"Juntas frente al arco: equipo, historia y resistencia en cada formación",Equipo femenino Scorpions posando antes de partido,2006,"Esta imagen reúne al equipo femenino de Scorpions en una formación previa al partido, un instante que trasciende lo deportivo para convertirse en un acto de afirmación colectiva. Cada jugadora, alineada frente al arco, representa no solo su compromiso con el juego, sino también su participación en una historia que durante años ha sido poco registrada y escasamente visibilizada.",https://drive.google.com/file/d/1vTyWn9VpPDLVGsjP7queV6RfIrXCtLmv/view?usp=share_link
Scrp-F-03,Más allá de la cancha: viajar juntas también es construir historia,Equipo femenino Scorpions en viaje / salida grupal,1999,"La imagen muestra a un grupo de jugadoras del equipo femenino de Scorpions durante un viaje, en un  aeropuerto. Lejos de la cancha, este momento revela otra dimensión fundamental del fútbol femenino: la experiencia compartida fuera del juego.",https://drive.google.com/file/d/1QwyEsxrTYViZtjPDDQE0QS2peL6mIsUC/view?usp=share_link
Scrp-F-04,Un logro que también es de todas: el reconocimiento en el fútbol femenino,Jugadora Scorpions premiada en torneo (Arrayanes),2018,"La imagen retrata a una jugadora del equipo femenino de Scorpions siendo reconocida tras un torneo, con medalla al cuello y balón en mano. Este momento, aunque individual en apariencia, representa un logro colectivo construido desde el esfuerzo del equipo, el acompañamiento y la persistencia en un contexto donde el fútbol femenino ha tenido que abrirse espacio.",https://drive.google.com/file/d/1R5japD2BjQQnmySvhGzQj8Tm2jSLmyJp/view?usp=sharing
Scrp-F-05,En cualquier cancha: el fútbol femenino que se construye juntas,Equipo femenino Scorpions en formación – partido fuera de Bogotá,2010,"La imagen muestra al equipo femenino de Scorpions posando en formación frente al arco, en lo que parece ser un partido o torneo fuera de su contexto habitual. Este tipo de escenarios refleja cómo el fútbol femenino amateur se expande más allá de su territorio, llevando consigo no solo un equipo, sino una identidad colectiva que se fortalece en cada nuevo espacio.",https://drive.google.com/file/d/1OXn4m7qcOyMx5u6Jsx61l4QyNQXzc2hb/view?usp=sharing
Scrp-F-06,Fuera de la cancha también somos equipo: vínculos que sostienen el juego,Equipo femenino Scorpions en encuentro social / espacio compartido,2002,"La imagen reúne a un grupo de jugadoras del equipo femenino de Scorpions en un espacio cerrado, lejos de la cancha y del contexto competitivo. Este tipo de momentos revela una dimensión fundamental del fútbol que muchas veces queda fuera del registro: los lazos afectivos y las relaciones que se construyen dentro del equipo.",https://drive.google.com/file/d/1Rbj-mcwQGknNwkCGLXlh5Y-oHSz67uTB/view?usp=share_link
Scrp-F-07,Compartir la mesa: el equipo también se construye en lo cotidiano,Equipo femenino Scorpions en comida grupal / concentración,2002,"La imagen muestra a varias jugadoras del equipo femenino de Scorpions reunidas alrededor de una mesa durante una comida, probablemente en el marco de un viaje, torneo o concentración. Este tipo de momentos, lejos del juego formal, son fundamentales en la construcción del equipo como comunidad.",https://drive.google.com/file/d/1RtK3DZUuuvAyKBjUVaBFEv5-kYyFDEUi/view?usp=share_link
Scrp-F-08,Nombre propio en la cancha: la historia también se escribe desde cada jugadora,"Sofía Cortez – jugadora Scorpions, retrato en cancha",2019,"La imagen retrata a Sofía Cortez, jugadora del equipo femenino de Scorpions, posando en la cancha con su uniforme. Este tipo de fotografías individuales adquiere un valor especial dentro del archivo, ya que permite poner nombre y rostro a quienes han construido la historia del fútbol femenino desde lo cotidiano.",https://drive.google.com/file/d/1TkAA9PcB3qdOmVPfCQUUhaiKQZ0L0NDE/view?usp=sharing
Scrp-F-09,Espaldas que cuentan historias: identidad y memoria en cada nombre,Equipo femenino Scorpions – dorsales y nombres de jugadoras,2006,"La imagen muestra a un grupo de jugadoras del equipo femenino de Scorpions de espaldas, dejando ver sus nombres y números en los uniformes. Este encuadre, lejos de ocultar identidades, las resalta: cada dorsal se convierte en una forma de nombrarse, de existir y de ser reconocida dentro del juego.",https://drive.google.com/file/d/11xAHbZ0scuPQAAb5xzmG8lt8cr874d1Y/view?usp=sharing
Scrp-F-10,Desde pequeñas: el origen de una historia que sigue creciendo,Categoría infantil Scorpions – preparación antes de partido,2017,"La imagen muestra a un grupo de niñas y niños de la categoría infantil de Scorpions en un momento previo al juego, ajustando sus uniformes y preparándose para entrar a la cancha.",https://drive.google.com/file/d/1QGwKd0jkIfwyuw1rq4eeZHSp9OI80doM/view?usp=sharing
Scrp-F-11,Compartir la cancha: el fútbol como espacio de encuentro y transformación,Equipo Scorpions mixto en formación – fotografía pre partido,2019,"La imagen muestra a un equipo de Scorpions posando en formación antes de un partido, en una alineación donde conviven jugadores y jugadoras. Este tipo de configuraciones refleja un espacio donde el fútbol se vive como un punto de encuentro, más allá de las divisiones tradicionales de género.",https://drive.google.com/file/d/18eUW9xQHBJjWaI3CGirOfnjfamVrnoEI/view?usp=sharing
Scrp-F-12,Soñar de cerca: referentes que inspiran el camino en el fútbol femenino,Jugadoras Scorpions con jugador profesional – encuentro post entrenamiento,2012,"La imagen muestra a dos jugadoras jóvenes de Scorpions compartiendo un momento con un jugador profesional, en un espacio cercano a la cancha. Este tipo de encuentros, más allá de la fotografía, representan instantes de inspiración y proyección para quienes están comenzando su camino en el fútbol.",https://drive.google.com/file/d/1DFLhqOWi6UJbkPw674QC3vfJM4AeInjU/view?usp=sharing
Scrp-F-13,"Existir en el registro: identidad, archivo y reconocimiento en el fútbol femenino",Carnet deportivo Valentina Jerez Dueñas – Scorpions,2017,"La imagen corresponde al carnet deportivo de Valentina Jerez Dueñas, jugadora de Scorpions, emitido en el marco de un torneo nacional. Este documento no solo cumple una función administrativa, sino que representa una forma de reconocimiento formal dentro del ámbito deportivo.",https://drive.google.com/file/d/13TVOue0YL1R2RjfV1v1R7bQHRflzIok_/view?usp=sharing
